GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,x_final,y_final,z_final,lat,lon,alt
2024-04-13 16:52:44.418699008+00:00,G28,5184851.060740044,25793079.109176017,-3672719.098587732,23788341.339517042,37.5,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:44.418699008+00:00,G32,7952003.079187073,17906780.72153773,18234137.375522032,21278644.380289286,36.9,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:44.418699008+00:00,G03,23165022.491901375,-12090296.007975057,4227213.946243014,24119605.30932052,35.9,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:44.418699008+00:00,G08,24966280.838056527,4739843.268170724,8331845.7138625905,21183545.67593197,26.5,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:44.418699008+00:00,G27,23125206.3566069,13298659.96570002,-2805681.5143932635,22176010.364752762,38.9,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:44.418699008+00:00,G28,5184851.060740044,25793079.109176017,-3672719.098587732,23788341.339517042,25.4,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:44.418699008+00:00,G32,7952003.079187073,17906780.72153773,18234137.375522032,21278644.380289286,26.3,4437108.07049048,3085385.4531883197,3376423.654289815,32.168455583110116,34.813189010808195,19.851610979495142
2024-04-13 16:52:45.418699008+00:00,G02,14603299.070570858,-5056695.606449084,22065352.01232043,22779780.255329914,43.5,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G03,23164680.264001522,-12089806.819272783,4230388.024840143,24119134.96252499,45.0,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G08,24967146.474054065,4740506.521781865,8328953.906605074,21183755.225099403,41.4,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G10,-1478343.9414661964,17239776.70585491,20261429.843067985,22813162.862024948,32.9,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G21,15728882.700374613,1717800.9979611742,21885387.347454023,21724565.36273478,36.8,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G27,23124818.211946245,13298735.04500167,-2808806.788871257,22176595.539672796,40.2,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G28,5184623.996741261,25793568.833147407,-3669587.4488184815,23787871.261018597,33.0,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G32,7949898.986866786,17905929.540878773,18235891.386866298,21278926.759576425,38.5,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
2024-04-13 16:52:45.418699008+00:00,G03,23164680.264001522,-12089806.819272783,4230388.024840143,24119134.96252499,34.2,4437105.502771999,3085365.884004936,3376450.847299475,32.16872691160149,34.81303421796581,19.16286368233462
